,Unnamed: 0,X,Y,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Surface Cond Desc,Atmosph Cond Desc,no_male_driver,no_female_driver,avg_age_male,avg_age_female,year
10,10,144.2364164302179,-36.955734900993036,T20140004998,2014-03-10,14,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,100,No,Intersection,MOUNT ALEXANDER,NORTHERN REGION,6,2,2,0,0,4,4,2,0,4,2,0,0,0,0,0,0,0,1,0,No,1,2,0,2,0,0,Freeway,"Freeway,Local Road",Divided,"Div,Undiv",Country,Dry,Clear,1,1,32.0,79.0,2014
11,11,144.2364164302179,-36.955734900993036,T20140004998,2014-03-10,14,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,100,No,Intersection,MOUNT ALEXANDER,NORTHERN REGION,6,2,2,0,0,4,4,2,0,4,2,0,0,0,0,0,0,0,1,0,No,1,2,0,2,0,0,Freeway,"Freeway,Local Road",Divided,"Div,Undiv",Country,Dry,Clear,1,1,32.0,79.0,2014
12,12,145.01062222052485,-37.69644246533189,T20140004659,2014-03-06,8,No,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Divided,Div,Metro,Dry,Clear,1,0,51.0,,2014
13,13,145.43184073065902,-36.34754235067043,T20140005115,2014-03-12,7,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Cross intersection,Fatal accident,100,No,Intersection,SHEPPARTON,NORTH EASTERN REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country,Dry,Clear,2,0,52.0,,2014
14,14,145.40281989480445,-38.17321047045888,T20140005550,2014-03-18,4,Yes,Struck animal,Tuesday,STRUCK ANIMAL,No,Dark No street lights,Not at intersection,Fatal accident,80,No,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,2,0,58.5,,2014
15,15,145.05088543127366,-37.67715638016549,T20140005946,2014-03-22,12,No,Collision with vehicle,Saturday,PULLING OUT (OVERTAKING),No,Day,T intersection,Fatal accident,70,No,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,3,1,1,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,2,0,30.5,,2014
16,16,146.26431659739083,-36.6199966762162,T20140006661,2014-03-31,15,No,Collision with a fixed object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,WANGARATTA,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,42.0,,2014
17,17,144.55713924014918,-37.96887921496939,T20140007514,2014-04-11,0,Yes,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,Freeway,Freeway,Divided,Div,Metro,Wet,Raining,1,0,45.0,,2014
18,18,143.0002510441909,-37.69293767896159,T20140007167,2014-04-06,19,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY ON RIGHT BEND,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,ARARAT,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,29.0,,2014
19,19,143.63191270602718,-38.267280519195474,T20140006407,2014-03-28,6,No,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Dusk/Dawn,Not at intersection,Fatal accident,100,No,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,2,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,52.0,,2014
20,20,147.10584926533076,-37.95963420661785,T20140007214,2014-04-07,18,Yes,Struck Pedestrian,Monday,PED WALKING WITH TRAFFIC,No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,WELLINGTON,EASTERN REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,60.0,,2014
21,21,145.27162615542724,-38.08164866689045,T20140007618,2014-04-12,11,No,Collision with vehicle,Saturday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,T intersection,Fatal accident,70,No,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,2,0,64.5,,2014
22,22,145.00103994288582,-37.67894033059167,T20140006450,2014-03-28,19,Yes,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dusk/Dawn,Not at intersection,Fatal accident,50,No,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,24.0,,2014
23,23,145.92576873506368,-38.16159235477205,T20140011800,2014-06-07,18,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,70,Yes,Non-Intersection,BAW BAW,EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Country,Wet,Clear,1,0,19.0,,2014
24,24,144.68953798992757,-36.74293042895,T20140011083,2014-05-29,6,No,Struck animal,Thursday,STRUCK ANIMAL,No,Dusk/Dawn,Not at intersection,Fatal accident,100,No,Non-Intersection,CAMPASPE,NORTHERN REGION,2,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,40.0,,2014
25,25,146.82784703228324,-38.09691780245471,T20140011125,2014-05-29,14,No,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,100,No,Intersection,WELLINGTON,EASTERN REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,2,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,53.0,,2014
26,26,145.92490048345596,-38.20721009238877,T20140011155,2014-05-30,2,Yes,Collision with a fixed object,Friday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BAW BAW,EASTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Unknown,Fog,0,1,,35.0,2014
27,27,141.27760817840604,-37.928142559659996,T20140011953,2014-06-10,5,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,GLENELG,SOUTH WESTERN REGION,3,2,1,0,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1,Yes,1,3,2,0,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,3,0,40.333333333333336,,2014
28,28,145.12567603915375,-38.11231992344383,T20140011582,2014-06-04,21,Yes,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Not at intersection,Fatal accident,70,No,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,7,6,1,4,1,1,5,2,0,4,3,0,0,0,0,0,0,0,0,1,Yes,0,4,0,4,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Metro,Wet,Raining,2,1,26.5,50.0,2014
29,29,145.04461001264303,-37.949069964324096,T20140010876,2014-05-26,12,No,Collision with vehicle,Monday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,2,0,53.5,,2014
30,30,143.35496951788602,-36.28293974548981,T20140010896,2014-05-26,13,No,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BULOKE,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,65.0,,2014
31,31,146.2464560300371,-36.23381973052051,T20140010912,2014-05-26,15,No,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,WANGARATTA,NORTH EASTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,0,1,,66.0,2014
32,32,144.73750463750068,-37.8240398876434,T20140011273,2014-05-31,14,Yes,Collision with vehicle,Saturday,RIGHT THROUGH,No,Day,Cross intersection,Fatal accident,80,No,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,1,26.0,55.0,2014
33,33,144.7035919696423,-37.754090208150686,T20140010982,2014-05-27,15,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,70,No,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,8,7,1,3,3,1,5,3,0,5,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,1,42.0,41.0,2014
34,34,142.18136101054355,-37.73977617037527,T20140011349,2014-06-01,16,Yes,Collision with a fixed object,Sunday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,63.0,,2014
35,35,146.97970508614037,-36.74166013803522,T20140008549,2014-04-26,0,Yes,Collision with a fixed object,Saturday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,Yes,Dark No street lights,Not at intersection,Fatal accident,80,Yes,Non-Intersection,ALPINE,NORTH EASTERN REGION,2,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,35.0,,2014
36,36,145.1229503517127,-37.82886807055121,T20140008149,2014-04-20,0,Yes,Struck Pedestrian,Sunday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Dark Street lights on,Not at intersection,Fatal accident,60,No,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,3,0,0,1,1,1,0,0,0,0,0,0,1,0,Yes,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,1,0,77.0,,2014
37,37,144.97486823932007,-37.756669720408304,T20140008958,2014-05-01,10,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Cross intersection,Fatal accident,60,No,Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,1,0,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,1,0,46.0,,2014
38,38,144.93391063704868,-37.69374439849665,T20140007850,2014-04-15,14,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Freeway,Freeway,Divided,Div,Metro,Dry,Clear,1,0,34.0,,2014
39,39,143.69611051854557,-37.63324028247283,T20140009046,2014-05-02,6,No,Collision with vehicle,Friday,HEAD ON(OVERTAKING),No,Dusk/Dawn,Not at intersection,Fatal accident,80,No,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,4,3,1,2,0,1,3,1,0,1,3,0,0,0,0,0,0,0,0,2,No,0,3,0,3,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Wet,Raining,2,1,21.0,49.0,2014
40,40,145.11348169633786,-37.95765490686353,T20140009095,2014-05-02,22,Yes,Collision with vehicle,Friday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Cross intersection,Fatal accident,70,No,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,3,3,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro,Dry,Clear,1,1,22.0,24.0,2014
41,41,147.72664132849638,-37.751944456569916,T20140006860,2014-04-02,16,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,T intersection,Fatal accident,100,No,Intersection,EAST GIPPSLAND,EASTERN REGION,9,9,1,3,5,0,6,3,0,6,3,0,0,0,0,0,0,0,0,1,No,0,3,1,1,0,1,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country,Dry,Clear,3,0,51.0,,2014
42,42,141.2857586294997,-38.16209410845076,T20140006867,2014-04-02,14,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,GLENELG,SOUTH WESTERN REGION,7,7,1,6,0,0,4,3,0,5,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,62.0,,2014
43,43,145.13595861126987,-37.61890983707104,T20140007271,2014-04-08,15,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,70,No,Non-Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Wet,Raining,1,1,31.0,58.0,2014
44,44,147.48427179944545,-37.7582178650911,T20140006513,2014-03-29,17,Yes,Collision with a fixed object,Saturday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,1,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,0,1,,38.0,2014
45,45,145.41462001817132,-37.53364999797185,T20140007295,2014-04-08,19,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Metro,Wet,Raining,2,0,52.5,,2014
46,46,146.90145976234203,-36.59003927452812,T20140007710,2014-04-13,14,No,Collision with vehicle,Sunday,RIGHT THROUGH,No,Day,T intersection,Fatal accident,100,No,Non-Intersection,ALPINE,NORTH EASTERN REGION,2,2,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,0,2,,32.5,2014
47,47,144.97868552791292,-37.844851726705535,T20140006968,2014-04-04,7,No,Collision with vehicle,Friday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Dusk/Dawn,T intersection,Fatal accident,60,No,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,2,0,30.0,,2014
48,48,145.0233822080423,-37.940020264824355,T20140006204,2014-03-26,5,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,60,Yes,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,2,1,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,1,0,25.0,,2014
49,49,142.7372490040321,-37.048231049339535,T20140006605,2014-03-30,12,No,Collision with vehicle,Sunday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,NORTHERN GRAMPIANS,WESTERN REGION,5,5,1,3,1,0,2,2,0,3,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,1,56.0,25.0,2014
50,50,143.61649247313963,-37.10742537433893,T20140006217,2014-03-26,9,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,1,0,1,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,35.0,,2014
51,51,144.59141080169627,-37.28212472194968,T20140006226,2014-03-26,6,No,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,MACEDON RANGES,NORTHERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,49.0,,2014
52,52,145.24783106969412,-37.87319777932608,T20140006635,2014-03-31,8,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,80,No,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,3,3,1,1,1,0,1,2,0,0,3,0,0,0,0,0,0,0,1,0,No,0,3,0,3,0,0,Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Metro,Dry,Clear,1,2,83.0,45.5,2014
53,53,146.13206930227508,-37.08971022142475,T20140001681,2014-01-26,1,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY ON LEFT BEND,No,Unk.,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MANSFIELD,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,1,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Unknown,Not known,1,0,30.0,,2014
