,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
21,1995231,T20180015837,2018-08-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,213000,337053,A,M,36,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
23,1995233,T20140000471,2014-01-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,154000,265665,A,M,42,4,Motorcyclists,1,Collision with vehicle,2,MACEDON RANGES,Country,N,Non Intersection,4013,Declared Road,,,1,2014
28,1995238,T20140011083,2014-05-29T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,65600,271707,A,M,40,2,Drivers,3,Struck animal,1,CAMPASPE,Country,N,Non Intersection,2540,Declared Road,,,1,2014
32,1995242,T20180003099,2018-02-17T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,210500,327185,A,M,37,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,9999,Non Declared Road,,,1,2018
34,1995244,T20180019095,2018-10-11T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161200,337961,B,M,28,4,Motorcyclists,1,Collision with vehicle,2,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2018
35,1995245,T20180000013,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,14100,325492,A,M,40,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Ballarat,N,Non Intersection,2520,Declared Road,,,1,2018
41,1995251,T20170022879,2017-11-29T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,193900,324256,A,M,43,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,N,Non Intersection,2570,Declared Road,,,1,2017
44,1995254,T20170012320,2017-06-23T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161000,318743,A,M,84,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,I,Intersection,9999,Non Declared Road,,,1,2017
50,1995260,T20170024688,2017-12-26T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,105000,73791,B,M,52,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,I,Intersection,5014,Declared Road,,,1,2017
52,1995262,T20180008199,2018-05-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,115800,329896,A,M,54,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5791,Declared Road,,,1,2018
53,1995263,T20180021863,2018-11-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,174000,343788,A,M,26,4,Motorcyclists,6,Vehicle overturned (no collision),1,LATROBE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
57,1995267,T20180006161,2018-03-31T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,145000,328702,A,M,56,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,4961,Declared Road,,,1,2018
60,1995270,T20170007426,2017-04-12T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,163000,299403,A,M,79,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,I,Intersection,2590,Declared Road,,,2,2017
61,1995271,T20170024452,2017-12-22T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,75500,325104,A,F,22,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5032,Declared Road,,,1,2017
63,1995273,T20180020617,2018-11-03T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,93200,338514,A,M,37,4,Motorcyclists,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2018
64,1995274,T20170022878,2017-11-29T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,145000,324851,A,F,35,2,Drivers,1,Collision with vehicle,2,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1,2017
67,1995277,T20160001961,2016-01-28T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,144800,298984,A,F,22,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,5770,Declared Road,,,1,2016
68,1995278,T20180021540,2018-11-17T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,130300,339256,A,M,72,4,Motorcyclists,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5535,Declared Road,,,1,2018
70,1995280,T20180013336,2018-07-16T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,112600,339550,A,F,60,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,4005,Declared Road,,,1,2018
72,1995282,T20150009322,2015-05-03T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,101100,288617,A,M,19,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,N,Non Intersection,2590,Declared Road,,,1,2015
73,1995283,T20180020188,2018-10-27T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,125000,338225,A,M,68,4,Motorcyclists,4,Collision with a fixed object,1,MOIRA,Country,N,Non Intersection,2640,Declared Road,,,1,2018
74,1995284,T20150025376,2015-12-07T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,180000,22636,A,M,27,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,2610,Declared Road,,,1,2015
78,1995288,T20180002925,2018-02-15T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,110700,29451,B,F,27,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5798,Declared Road,,,1,2018
81,1995291,T20150006147,2015-03-22T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,220000,288826,A,M,44,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,1,2015
82,1995292,T20180014002,2018-07-25T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,193000,332849,A,F,71,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,2540,Declared Road,,,1,2018
84,1995294,T20170009360,2017-05-10T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,220000,318610,A,F,27,2,Drivers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,5774,Declared Road,,,1,2017
86,1995296,T20140001034,2014-01-16T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,150000,265827,A,F,65,2,Drivers,4,Collision with a fixed object,1,ARARAT,Country,N,Non Intersection,5100,Declared Road,,,1,2014
90,1995300,T20180021505,2018-11-16T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,133000,339352,B,M,62,4,Motorcyclists,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
93,1995303,T20140004905,2014-03-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,A,M,19,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4,2014
94,1995304,T20140004905,2014-03-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,214500,270381,B,M,53,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,4,2014
97,1995307,T20180000514,2018-01-09T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,223000,331425,A,F,39,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,2590,Declared Road,,,1,2018
99,1995309,T20180017966,2018-09-18T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,131200,795,A,M,75,2,Drivers,1,Collision with vehicle,3,MONASH,Melbourne - South East,I,Intersection,2290,Declared Road,,,1,2018
102,1995312,T20180023626,2018-12-15T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,204500,340288,A,M,27,2,Drivers,4,Collision with a fixed object,1,WYNDHAM,Melbourne - West,N,Non Intersection,7026,Declared Road,,,2,2018
103,1995313,T20180023735,2018-12-17T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,185500,340432,A,M,52,2,Drivers,1,Collision with vehicle,3,HORSHAM,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
104,1995314,T20180001358,2018-01-22T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,150000,326312,B,M,57,2,Drivers,1,Collision with vehicle,3,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1,2018
109,1995319,T20150019699,2015-09-22T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,143500,54423,A,M,43,2,Drivers,1,Collision with vehicle,2,ARARAT,Country,I,Intersection,2670,Declared Road,,,1,2015
110,1995320,T20180017351,2018-09-14T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,131200,313140,B,F,77,2,Drivers,1,Collision with vehicle,2,MANSFIELD,Country,I,Intersection,5498,Declared Road,,,1,2018
111,1995321,T20170021021,2017-11-03T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,164500,323994,A,F,46,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2017
114,1995324,T20180017275,2018-09-13T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,102000,341496,A,F,72,2,Drivers,4,Collision with a fixed object,1,SOUTH GIPPSLAND,Country,O,Unknown,-1,Declared Road,,,1,2018
120,1995330,T20160012014,2016-06-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,63300,305049,C,F,23,2,Drivers,1,Collision with vehicle,3,INDIGO,Country,N,Non Intersection,5161,Declared Road,,,1,2016
122,1995332,T20140021087,2014-10-12T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,175500,275786,A,M,26,4,Motorcyclists,4,Collision with a fixed object,5,HUME,Melbourne - North West,N,Non Intersection,5291,Declared Road,,,1,2014
123,1995333,T20180008555,2018-05-06T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,23500,330136,A,M,24,2,Drivers,4,Collision with a fixed object,1,MITCHELL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
124,1995334,T20180016198,2018-08-27T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,184500,337063,B,M,70,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2018
125,1995335,T20150020313,2015-10-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,150000,294545,A,F,35,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2015
126,1995336,T20180001841,2018-01-30T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,141500,326848,A,M,80,2,Drivers,1,Collision with vehicle,2,MORELAND,Melbourne - North West,N,Non Intersection,5500,Declared Road,,,1,2018
128,1995338,T20170018863,2017-10-03T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,210200,45428,B,M,32,4,Motorcyclists,1,Collision with vehicle,4,MOONEE VALLEY,Melbourne - Inner,I,Intersection,5824,Declared Road,,,1,2017
133,1995343,T20170005097,2017-03-13T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,235500,315016,A,M,30,4,Motorcyclists,1,Collision with vehicle,5,BRIMBANK,Melbourne - West,N,Non Intersection,2530,Declared Road,,,1,2017
134,1995344,T20180004769,2018-03-12T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,165000,331168,A,M,54,4,Motorcyclists,1,Collision with vehicle,2,SURF COAST,Country,N,Non Intersection,2500,Declared Road,,,1,2018
136,1995346,T20160027925,2016-12-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,193500,312210,A,M,44,4,Motorcyclists,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
137,1995347,T20170005902,2017-03-24T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,32800,315473,A,M,27,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2017
138,1995348,T20180018771,2018-10-06T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,113500,337975,A,M,62,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2018
140,1995350,T20170017362,2017-09-09T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,80500,57281,A,M,69,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,I,Intersection,2570,Declared Road,,,2,2017
142,1995352,T20180020205,2018-10-27T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,233000,341714,A,M,36,2,Drivers,4,Collision with a fixed object,1,WARRNAMBOOL,Country,O,Unknown,-1,Declared Road,,,1,2018
144,1995354,T20180002129,2018-02-03T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,144500,326728,B,M,54,4,Motorcyclists,1,Collision with vehicle,3,COLAC OTWAY,Country,N,Non Intersection,2500,Declared Road,,,1,2018
145,1995355,T20180004535,2018-03-09T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,33000,329200,A,M,19,2,Drivers,4,Collision with a fixed object,1,WELLINGTON,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
146,1995356,T20160025249,2016-11-22T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,145500,310892,A,M,25,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,N,Non Intersection,5189,Declared Road,,,1,2016
148,1995358,T20180017125,2018-09-10T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,182000,337060,B,M,38,2,Drivers,1,Collision with vehicle,2,HUME,Melbourne - North West,N,Non Intersection,9999,Non Declared Road,,,1,2018
149,1995359,T20150018505,2015-09-05T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,130000,293632,A,M,18,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,1,2015
150,1995360,T20170014249,2017-07-22T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,150000,319576,A,M,31,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,4005,Declared Road,,,1,2017
152,1995362,T20170021109,2017-11-05T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,134000,51985,A,M,72,2,Drivers,1,Collision with vehicle,2,WELLINGTON,Country,I,Intersection,9999,Non Declared Road,,,2,2017
153,1995363,T20170021968,2017-11-18T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,15100,323801,A,M,49,2,Drivers,1,Collision with vehicle,4,MONASH,Melbourne - South East,N,Non Intersection,5303,Declared Road,,,1,2017
154,1995364,T20140004937,2014-03-09T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,155000,267351,A,F,84,2,Drivers,4,Collision with a fixed object,1,CENTRAL GOLDFIELDS,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
156,1995366,T20150002535,2015-02-05T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,103400,50817,A,M,65,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,I,Intersection,5397,Declared Road,,,1,2015
158,1995368,T20170009353,2017-05-12T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,113600,317285,A,M,83,2,Drivers,4,Collision with a fixed object,2,BANYULE,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2017
161,1995371,T20150007799,2015-04-13T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,163000,287872,B,M,56,4,Motorcyclists,1,Collision with vehicle,2,BALLARAT,Ballarat,I,Intersection,9999,Non Declared Road,,,1,2015
165,1995375,T20160013427,2016-06-18T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,212100,264300,A,M,70,2,Drivers,4,Collision with a fixed object,1,KINGSTON,Melbourne - Inner South,I,Intersection,2660,Declared Road,,,1,2016
166,1995376,T20170006452,2017-03-30T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,65800,315664,B,M,56,2,Drivers,1,Collision with vehicle,2,SOUTHERN GRAMPIANS,Country,N,Non Intersection,2670,Declared Road,,,1,2017
168,1995378,T20170004679,2017-03-07T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,162500,315820,A,F,20,2,Drivers,4,Collision with a fixed object,1,PYRENEES,Ballarat,N,Non Intersection,2700,Declared Road,,,1,2017
169,1995379,T20160011411,2016-05-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,83700,303786,C,M,48,2,Drivers,1,Collision with vehicle,11,MOONEE VALLEY,Melbourne - North West,N,Non Intersection,2530,Declared Road,,,1,2016
170,1995380,T20160003982,2016-02-22T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,171700,299896,A,F,28,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,5560,Declared Road,,,1,2016
171,1995381,T20160000968,2016-01-14T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,203000,42784,B,M,22,4,Motorcyclists,1,Collision with vehicle,2,KINGSTON,Melbourne - Inner South,I,Intersection,5841,Declared Road,,,1,2016
173,1995383,T20160021836,2016-10-08T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,224500,309186,A,F,30,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Country,N,Non Intersection,2520,Declared Road,,,1,2016
174,1995384,T20170010048,2017-05-22T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,181500,317702,B,M,62,4,Motorcyclists,1,Collision with vehicle,2,MOORABOOL,Ballarat,N,Non Intersection,5220,Declared Road,,,1,2017
175,1995385,T20180018765,2018-10-06T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,52100,42232,A,F,25,2,Drivers,4,Collision with a fixed object,1,KINGSTON,Melbourne - Inner South,I,Intersection,2660,Declared Road,,,1,2018
176,1995386,T20180009288,2018-05-16T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,210000,330496,A,M,30,2,Drivers,6,Vehicle overturned (no collision),1,BENDIGO,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1,2018
179,1995389,T20180020252,2018-10-28T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,142000,52550,A,M,32,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,9999,Non Declared Road,,,1,2018
183,1995393,T20180023819,2018-12-19T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,62000,340506,B,M,60,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5770,Declared Road,,,1,2018
